CST_U_1,CST_U_2,CST_U_3,CST_U_4,CST_U_5,CST_U_6,CST_L_1,CST_L_2,CST_L_3,CST_L_4,CST_L_5,CST_L_6,AOA,RE_N,CD,CL
0.16030182,0.21010474,0.20163778,0.12891027,0.1110525,0.13348736,-0.11039992,0.13263932,-0.01156427,0.07163956,-0.001662,-0.00964256,10.549,75927.8065,0.1429749604529987,0.8861204622501064
0.17139981,0.24924067,0.16731672,0.23740598,0.21044223,0.17148323,-0.1295879,-0.11230238,-0.07007179,-0.09751465,-0.03415534,-0.08108785,20.0451,53917.8155,0.5197212089053803,1.3874624807845217
0.29093827,0.35571303,0.22675145,0.28523251,0.13141423,0.10930037,-0.06224768,-0.09315384,0.44924515,-0.16658753,0.21623051,-0.10051587,4.6203,58434.2676,0.1152780225591189,0.4923466218334953
0.13332759,0.19500504,0.11537361,0.23195954,0.15570193,0.16890714,-0.06074373,-0.03012237,-0.04940147,-0.05669223,0.04085354,0.05104233,7.8533,48125.283,0.10037992066396761,0.7249151677732794
0.22213214,0.25947858,0.32720752,0.36748503,0.26863857,0.16050731,-0.18555477,-0.21154627,-0.27678418,-0.29153902,-0.20498446,-0.01627939,16.2001,93476.7053,0.3730911520067904,1.0305815119679884
0.33170934,0.45046772,0.33368794,0.31987816,0.29823626,0.27391908,-0.14112721,-0.12385541,-0.03368726,-0.09373086,-0.03788137,-0.05726474,12.1998,57737.2751,0.32860959515592514,0.986806358066528
0.13592874,0.18096514,0.11197729,0.18439244,0.10061023,0.16323748,-0.08919241,-0.06387555,-0.04761655,-0.05022131,-0.02043788,-0.0283826,11.3541,50672.1445,0.2035212583118741,0.9836749703862662
0.22561783,0.07397486,0.34481064,-0.03563468,0.47563415,0.04618911,-0.19262776,-0.21402765,0.01993148,-0.60820172,0.26870817,-0.1253599,11.6042,97741.3013,0.222906181275331,0.9400418864631181
0.13830191,0.18409889,0.13195548,0.16879143,0.13935416,0.10841727,-0.11527917,-0.1304917,-0.08652393,-0.10436577,-0.07854039,-0.05215747,0.3436,97004.7526,0.014611422959731547,0.04245303375553691
0.09484361,0.06332113,0.04298464,0.07488034,0.01682624,0.08850559,-0.09467738,-0.06341202,-0.04279682,-0.07496475,-0.01674229,-0.08846933,22.0,68442.5449,0.6636074835721295,1.5649435449852798
0.12478896,0.14824982,0.08596207,0.13740237,0.07300485,0.11952941,-0.07263852,-0.02478454,-0.01614066,0.00965779,0.03282877,0.01852362,-0.7682,45388.5599,0.01577024178129639,0.10870421009401286
0.08168362,0.12571733,0.06472348,0.19107914,0.03630064,0.15256896,-0.08418111,-0.05218064,-0.07253427,-0.06184674,-0.0245606,-0.06909089,17.0864,26376.7426,0.3754334310919849,1.1992036528778913
0.21461057,0.3615749,0.22217724,0.50709178,0.24207106,0.42715256,-0.10608831,-0.11276349,-0.08364948,-0.20832096,-0.00061865,0.18454983,14.2664,96354.2987,0.2957647909442475,1.2534377408153399
0.06725721,0.26032932,0.14655145,0.28014144,0.18278142,0.21495567,-0.04790006,-0.19588848,0.09599152,-0.04826538,0.03103433,0.00130791,14.9163,35326.0828,0.2939233538922156,1.1799723952894212
0.25765064,0.13588297,0.19614719,0.28184828,0.06519768,0.44318218,0.04581223,-0.10367802,0.19689107,-0.14528986,0.08883073,-0.02481997,13.6732,66189.8389,0.3238923371816284,1.2758297291231733
0.18674174,0.32193016,0.17485646,0.49033625,0.09097979,0.2710189,-0.11578284,-0.07308469,-0.18882047,0.02605614,-0.38653635,0.08300521,15.1663,26983.5367,0.32135946684665223,1.0221775845572354
0.18537105,0.20438366,0.18507721,0.28446654,0.11754685,0.18185502,-0.0951453,-0.06354734,-0.22145615,-0.10466962,-0.10827732,-0.10247258,19.1769,63463.686,0.47919178887186364,1.2743356530932772
0.26019051,0.18961163,0.22833265,0.2516124,0.16077077,0.28788639,-0.27082266,0.10895968,-0.26979726,0.10826327,-0.13482143,-0.03310359,10.6391,55693.114,0.20812406014281934,0.9548140744512034
0.15199357,0.26046281,0.16681427,0.29786053,0.1824112,0.04094333,-0.09090991,-0.08409172,-0.03776995,-0.11313691,-0.02477869,-0.15838717,0.6002,25613.1076,0.029299063515914138,0.2127279157660992
0.32254567,0.50084036,0.26817869,0.39272892,0.19785962,0.11668687,-0.2121307,-0.13814057,-0.1194975,-0.16000796,-0.12864937,-0.19782241,21.2886,33829.9103,0.5706055972771475,1.1150276657374394
